n,t,v,q,pwm,fa
85,1.7,"[-2.25, 1.82e-16, -2.41]","[0.999, -9.63e-18, -0.0343, -5.5e-17]","[1.14e+03, 1e+03, 1.14e+03, 1e+03]","[-9.95, 2.33e-16, 35.6]"
86,1.72,"[-2.23, 1.77e-16, -2.35]","[0.998, -9.57e-18, -0.0646, -5.47e-17]","[1.38e+03, 1.28e+03, 1.38e+03, 1.28e+03]","[-8.09, 1.54e-16, 14.8]"
87,1.74,"[-2.21, 1.71e-16, -2.29]","[0.996, -9.74e-18, -0.092, -5.46e-17]","[1.98e+03, 2e+03, 1.98e+03, 2e+03]","[-9.09, 4.72e-16, 5.15]"
88,1.76,"[-2.18, 1.62e-16, -2.26]","[0.993, -9.41e-18, -0.117, -5.44e-17]","[1.47e+03, 1.39e+03, 1.47e+03, 1.39e+03]","[-5.09, -8.09e-17, 20.7]"
89,1.78,"[-2.14, 1.53e-16, -2.22]","[0.99, -8.8e-18, -0.139, -5.42e-17]","[1.14e+03, 1.05e+03, 1.14e+03, 1.05e+03]","[-1.63, -4.46e-16, 23.7]"
90,1.8,"[-2.09, 1.43e-16, -2.17]","[0.987, -8.15e-18, -0.159, -5.4e-17]","[1.47e+03, 1.43e+03, 1.47e+03, 1.43e+03]","[-2.95, -1.6e-16, 11]"
91,1.82,"[-2.04, 1.33e-16, -2.12]","[0.984, -7.61e-18, -0.177, -5.37e-17]","[1.76e+03, 1.75e+03, 1.76e+03, 1.75e+03]","[-4.69, 7.85e-17, 5.56]"
92,1.84,"[-1.98, 1.21e-16, -2.08]","[0.981, -6.98e-18, -0.193, -5.34e-17]","[1.57e+03, 1.54e+03, 1.57e+03, 1.54e+03]","[-2.37, -8.14e-17, 11.8]"
93,1.86,"[-1.91, 1.08e-16, -2.05]","[0.978, -6.4e-18, -0.208, -5.32e-17]","[1.34e+03, 1.29e+03, 1.34e+03, 1.29e+03]","[0.474, -3.22e-16, 14.8]"
94,1.88,"[-1.84, 9.47e-17, -2.01]","[0.975, -5.74e-18, -0.221, -5.29e-17]","[1.45e+03, 1.42e+03, 1.45e+03, 1.42e+03]","[-0.203, -2.2e-16, 9.12]"
95,1.9,"[-1.77, 8.15e-17, -1.96]","[0.972, -4.97e-18, -0.233, -5.26e-17]","[1.64e+03, 1.62e+03, 1.64e+03, 1.62e+03]","[-1.98, -1.14e-16, 4.79]"
