n,t,v,q,pwm,fa
59,1.18,"[-0.0142, 2.41e-09, -0.00551]","[1, 1.16e-08, 0.00365, 8.01e-10]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.0909, -2.91e-19, 1.73e-06]"
60,1.2,"[-0.0105, 4.64e-09, -0.101]","[1, 1.29e-08, 0.00356, 1.03e-09]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.0916, -2.3e-19, 0.000566]"
61,1.22,"[-0.0128, 8.69e-09, -0.0558]","[1, 1.42e-08, 0.00352, 1.24e-09]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.0912, -2.8e-18, 0.000172]"
62,1.24,"[-0.015, 1.32e-08, -0.0108]","[1, 1.41e-08, 0.00356, 1.37e-09]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.0908, -9.14e-18, 6.51e-06]"
63,1.26,"[-0.0173, 1.54e-08, 0.034]","[1, -1.19e-09, 0.00358, 6.52e-10]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.0905, -1.3e-17, -6.29e-05]"
64,1.28,"[-0.0196, 1.17e-08, 0.079]","[1, -1.89e-08, 0.00363, -2.06e-10]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.0901, -4.2e-18, -0.000342]"
65,1.3,"[-0.0192, 1.66e-08, 0.082]","[1, 8.17e-08, 0.00368, 5.75e-09]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.0901, -5.03e-17, -0.000369]"
66,1.32,"[-0.0115, 3.45e-08, -0.0697]","[1, 1.33e-07, 0.0036, 1.1e-08]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.0914, -1.44e-17, 0.000268]"
67,1.34,"[-0.0113, 6.85e-08, -0.0885]","[1, 1.51e-07, 0.00351, 1.39e-08]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.0914, -9.7e-17, 0.000432]"
68,1.36,"[-0.0136, 1.18e-07, -0.0429]","[1, 1.8e-07, 0.00351, 1.75e-08]","[2e+03, 1.03e+03, 2e+03, 1.03e+03]","[-0.0911, -5.84e-16, 0.000102]"
69,1.38,"[-0.0158, 1.66e-07, 0.00196]","[1, 8.82e-08, 0.00356, 1.42e-08]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.0907, -1.54e-15, -1.87e-07]"
70,1.4,"[-0.0181, 1.58e-07, 0.0466]","[1, 2.8e-08, 0.00362, 1.27e-08]","[2e+03, 1e+03, 2e+03, 1.02e+03]","[-0.0903, -1.43e-15, -0.000119]"
71,1.42,"[-0.0204, 4.19e-07, 0.0912]","[1, 1.99e-06, 0.00364, 1.25e-07]","[2e+03, 1e+03, 2e+03, 1.02e+03]","[-0.09, -3.41e-14, -0.000456]"
72,1.44,"[-0.018, 1.21e-06, 0.0617]","[1, 4.62e-06, 0.00366, 6.76e-08]","[2e+03, 1e+03, 2e+03, 1.9e+03]","[-0.0903, -1.74e-13, -0.000209]"
73,1.46,"[-0.0111, 5.19e-07, -0.12]","[1, -7.23e-06, 0.00354, -1.54e-05]","[2e+03, 1e+03, 1.53e+03, 1.53e+03]","[-0.0915, -1.98e-13, 0.000789]"
74,1.48,"[-0.0128, 1.11e-06, -0.121]","[1, 1.57e-05, 0.00325, -9.07e-05]","[2e+03, 1e+03, 1.5e+03, 1.5e+03]","[-0.0912, 1.42e-12, 0.000803]"
75,1.5,"[-0.0151, 1.47e-05, -0.0938]","[1, 6.18e-05, 0.00291, -0.000254]","[2e+03, 1e+03, 1.5e+03, 1.5e+03]","[-0.0909, 1.19e-12, 0.000485]"
76,1.52,"[-0.0172, 4.57e-05, -0.0629]","[1, 0.000114, 0.00263, -0.000503]","[2e+03, 1e+03, 1.49e+03, 1.51e+03]","[-0.0906, -1.05e-11, 0.000218]"
77,1.54,"[-0.0192, 9.19e-05, -0.0304]","[1, 0.000139, 0.00239, -0.000836]","[2e+03, 1e+03, 1.5e+03, 1.5e+03]","[-0.0902, -1.44e-10, 5.12e-05]"
