n,t,v,q,pwm,fa
70,1.4,"[-4.02e-15, -2.01e-15, -3.43]","[1, -1.51e-15, 3.02e-15, 9.77e-19]","[1.44e+03, 1.44e+03, 1.44e+03, 1.44e+03]","[-4.83e-13, -2.41e-13, 9.17]"
71,1.42,"[-4.69e-15, -2.35e-15, -3.37]","[1, -1.05e-15, 2.1e-15, 9.85e-19]","[1.44e+03, 1.44e+03, 1.44e+03, 1.44e+03]","[-4.99e-13, -2.49e-13, 9.03]"
72,1.44,"[-5.11e-15, -2.56e-15, -3.3]","[1, -5.76e-16, 1.14e-15, 9.96e-19]","[1.45e+03, 1.45e+03, 1.45e+03, 1.45e+03]","[-4.89e-13, -2.44e-13, 8.89]"
73,1.46,"[-5.29e-15, -2.65e-15, -3.24]","[1, -1.03e-16, 1.98e-16, 1.03e-18]","[1.45e+03, 1.45e+03, 1.45e+03, 1.45e+03]","[-4.55e-13, -2.28e-13, 8.77]"
74,1.48,"[-5.22e-15, -2.62e-15, -3.17]","[1, 3.42e-16, -6.91e-16, 1.07e-18]","[1.45e+03, 1.45e+03, 1.45e+03, 1.45e+03]","[-4.01e-13, -2.01e-13, 8.64]"
75,1.5,"[-4.93e-15, -2.47e-15, -3.11]","[1, 7.38e-16, -1.48e-15, 1.1e-18]","[1.45e+03, 1.45e+03, 1.45e+03, 1.45e+03]","[-3.33e-13, -1.67e-13, 8.52]"
76,1.52,"[-4.43e-15, -2.22e-15, -3.05]","[1, 1.07e-15, -2.14e-15, 1.16e-18]","[1.45e+03, 1.45e+03, 1.45e+03, 1.45e+03]","[-2.54e-13, -1.27e-13, 8.39]"
77,1.54,"[-3.77e-15, -1.89e-15, -2.99]","[1, 1.32e-15, -2.65e-15, 1.17e-18]","[1.45e+03, 1.45e+03, 1.45e+03, 1.45e+03]","[-1.7e-13, -8.53e-14, 8.27]"
78,1.56,"[-2.99e-15, -1.5e-15, -2.94]","[1, 1.49e-15, -2.98e-15, 1.19e-18]","[1.45e+03, 1.45e+03, 1.45e+03, 1.45e+03]","[-8.54e-14, -4.3e-14, 8.15]"
79,1.58,"[-2.14e-15, -1.08e-15, -2.88]","[1, 1.56e-15, -3.13e-15, 1.23e-18]","[1.46e+03, 1.46e+03, 1.46e+03, 1.46e+03]","[-4.93e-15, -2.83e-15, 8.04]"
80,1.6,"[-1.26e-15, -6.39e-16, -2.82]","[1, 1.55e-15, -3.11e-15, 1.26e-18]","[1.46e+03, 1.46e+03, 1.46e+03, 1.46e+03]","[6.77e-14, 3.35e-14, 7.92]"
81,1.62,"[-4.02e-16, -2.11e-16, -2.77]","[1, 1.46e-15, -2.93e-15, 1.29e-18]","[1.46e+03, 1.46e+03, 1.46e+03, 1.46e+03]","[1.29e-13, 6.43e-14, 7.81]"
82,1.64,"[3.88e-16, 1.85e-16, -2.71]","[1, 1.3e-15, -2.61e-15, 1.33e-18]","[1.46e+03, 1.46e+03, 1.46e+03, 1.46e+03]","[1.78e-13, 8.85e-14, 7.7]"
83,1.66,"[1.07e-15, 5.28e-16, -2.66]","[1, 1.09e-15, -2.17e-15, 1.38e-18]","[1.46e+03, 1.46e+03, 1.46e+03, 1.46e+03]","[2.12e-13, 1.05e-13, 7.59]"
84,1.68,"[1.63e-15, 8.05e-16, -2.61]","[1, 8.25e-16, -1.65e-15, 1.44e-18]","[1.46e+03, 1.46e+03, 1.46e+03, 1.46e+03]","[2.3e-13, 1.15e-13, 7.48]"
