n,t,v,q,pwm,fa
77,1.54,"[-0.133, 0.000691, -4.14]","[0.999, -0.000363, -0.0421, 0.00181]","[1e+03, 2e+03, 1.83e+03, 1.83e+03]","[-0.761, -6.88e-07, 0.933]"
78,1.56,"[-0.12, 0.000577, -4.22]","[0.999, -0.00038, -0.0429, 0.00184]","[1e+03, 2e+03, 2e+03, 2e+03]","[-0.761, -6.91e-07, 0.966]"
79,1.58,"[-0.106, 0.000466, -4.3]","[0.999, -0.000364, -0.0436, 0.00187]","[1.5e+03, 1.5e+03, 1e+03, 2e+03]","[-0.761, -5.91e-07, 1.01]"
80,1.6,"[-0.0921, 0.000391, -4.38]","[0.999, -0.000236, -0.0443, 0.00191]","[2e+03, 2e+03, 1e+03, 2e+03]","[-0.761, -2.33e-07, 1.04]"
81,1.62,"[-0.0801, 0.00041, -4.43]","[0.999, -6.22e-05, -0.045, 0.00197]","[1.5e+03, 1.5e+03, 2e+03, 1e+03]","[-0.762, -1.33e-08, 1.07]"
82,1.64,"[-0.07, 0.000487, -4.45]","[0.999, 3.94e-05, -0.0456, 0.00207]","[1.76e+03, 2e+03, 2e+03, 1e+03]","[-0.763, 9.13e-09, 1.08]"
83,1.66,"[-0.0564, 0.000636, -4.51]","[0.999, 8.35e-05, -0.0462, 0.00214]","[1e+03, 2e+03, 2e+03, 2e+03]","[-0.764, 3.19e-08, 1.11]"
84,1.68,"[-0.0402, 0.000821, -4.6]","[0.999, 0.000158, -0.0468, 0.0022]","[1.5e+03, 1.5e+03, 1e+03, 2e+03]","[-0.765, 1.06e-07, 1.15]"
85,1.7,"[-0.0286, 0.00101, -4.64]","[0.999, 0.000208, -0.0473, 0.0023]","[1.5e+03, 1.5e+03, 1e+03, 2e+03]","[-0.767, 1.76e-07, 1.17]"
86,1.72,"[-0.0207, 0.00116, -4.63]","[0.999, 0.000185, -0.0479, 0.00244]","[2e+03, 1e+03, 2e+03, 2e+03]","[-0.768, 1.26e-07, 1.17]"
87,1.74,"[-0.00758, 0.00139, -4.67]","[0.999, 0.000231, -0.0484, 0.00256]","[1.23e+03, 1.77e+03, 2e+03, 1e+03]","[-0.769, 1.94e-07, 1.19]"
